transaction_id,from_id,to_id,amount,timestamp,transaction_type,sender_country,receiver_country,description,suspicious_flag
T000052,E0284,E0117,113.12,2024-04-07 13:10:17,Cash Deposit,Romania,Anguilla,Cash Deposit #52,False
T000053,E0629,E0120,84.08,2024-09-29 10:06:08,Cash Deposit,Georgia,Denmark,Cash Deposit #53,False
T000054,E0205,E0117,114.07,2024-04-12 16:46:09,Cash Deposit,Jamaica,Anguilla,Cash Deposit #54,False
T000055,E0515,E0450,468.75,2024-05-14 20:35:37,Wire Transfer,Egypt,Costa Rica,Wire Transfer #55,False
T000056,E0619,E0645,303.25,2024-02-24 13:28:54,Payment,Bermuda,British Indian Ocean Territory (Chagos Archipelago),Resource actually arrive.,False
T000057,E0237,E0009,237.67,2024-03-17 07:31:52,Payment,Suriname,Cook Islands,Military traditional treat road nature.,False
T000058,E0168,E0922,208.96,2024-08-19 02:28:28,Cash Deposit,Saint Barthelemy,Jordan,Cash Deposit #58,False
T000059,E0443,E0105,960.84,2024-10-23 23:36:22,Wire Transfer,Holy See (Vatican City State),Norfolk Island,Wire Transfer #59,False
T000060,E0969,E0130,659.96,2024-04-23 06:15:21,Cash Deposit,Saudi Arabia,France,Cash Deposit #60,False
T000061,E0756,E0737,1292.29,2024-11-02 08:32:38,Wire Transfer,Martinique,Madagascar,Wire Transfer #61,False
T000062,E0814,E0397,171.22,2024-12-17 05:30:20,Wire Transfer,Japan,Belize,Wire Transfer #62,False
T000063,E0214,E0431,210.1,2024-03-11 17:44:54,Payment,Saudi Arabia,Puerto Rico,Bank large most cost ability among.,False
T000064,E0780,E0120,882.0,2024-12-03 04:00:31,Payment,Canada,Denmark,Others car view source.,False
T000065,E0754,E0253,2855.12,2024-03-04 23:10:24,Wire Transfer,Iraq,Slovakia (Slovak Republic),Wire Transfer #65,False
T000066,E0699,E0584,812.44,2024-01-07 23:37:45,Payment,Canada,Italy,Foreign capital eat.,False
T000067,E0078,E0112,224.51,2024-05-13 19:08:51,Cash Deposit,Korea,United States Minor Outlying Islands,Cash Deposit #67,False
T000068,E0351,E0181,589.16,2024-02-24 06:29:11,Payment,Malawi,Yemen,Society simply guy product.,False
T000069,E0712,E0514,53.8,2024-09-17 16:47:20,Cash Deposit,Marshall Islands,Slovenia,Cash Deposit #69,False
T000070,E0961,E0467,536.33,2024-10-07 02:00:19,Wire Transfer,Tokelau,Dominica,Wire Transfer #70,False
T000071,E0955,E0382,20.04,2024-05-14 19:52:13,Payment,South Georgia and the South Sandwich Islands,Saint Pierre and Miquelon,Fly put Mr meet drive several.,False
T000072,E0276,E0412,44.93,2024-05-05 01:25:40,Payment,Senegal,Bolivia,Every later factor plan.,False
T000073,E0231,E0846,582.53,2024-07-24 03:51:33,Wire Transfer,Belize,San Marino,Wire Transfer #73,False
T000074,E0065,E0207,1082.35,2024-08-09 15:44:33,Wire Transfer,Canada,Northern Mariana Islands,Wire Transfer #74,False
T000075,E0998,E0659,207.91,2024-04-11 07:10:15,Wire Transfer,British Virgin Islands,Sri Lanka,Wire Transfer #75,False
T000076,E0043,E0586,2226.68,2024-12-24 22:13:58,Payment,Slovakia (Slovak Republic),Somalia,Economy wrong age four would though.,False
T000077,E0374,E0822,70.41,2024-11-17 03:01:35,Wire Transfer,Equatorial Guinea,Cayman Islands,Wire Transfer #77,False
T000078,E0406,E0242,282.67,2024-02-17 12:14:46,Cash Deposit,Mexico,Gambia,Cash Deposit #78,False
T000079,E0342,E0052,429.02,2024-07-16 13:48:31,Cash Deposit,Monaco,Lesotho,Cash Deposit #79,False
T000080,E0318,E0436,190.12,2024-02-11 08:35:12,Payment,Iceland,El Salvador,Realize result result style.,False
T000081,E0341,E0449,394.11,2024-09-17 21:48:54,Wire Transfer,Equatorial Guinea,Denmark,Wire Transfer #81,False
T000082,E0021,E0829,133.6,2024-07-22 15:41:55,Payment,Saint Pierre and Miquelon,Bouvet Island (Bouvetoya),Specific whose he sell this.,False
T000083,E0256,E0294,1761.28,2024-12-29 18:34:02,Cash Deposit,Thailand,Niger,Cash Deposit #83,False
T000084,E0959,E0037,606.58,2024-01-23 19:57:26,Cash Deposit,Tokelau,Yemen,Cash Deposit #84,False
T000085,E0089,E0999,11113.63,2024-10-25 10:50:48,Cash Deposit,Tanzania,Thailand,Cash Deposit #85,False
T000086,E0422,E0405,567.57,2024-03-13 07:57:37,Cash Deposit,Bhutan,Maldives,Cash Deposit #86,False
T000087,E0110,E0431,3076.34,2024-07-23 01:11:56,Wire Transfer,Montserrat,Puerto Rico,Wire Transfer #87,False
T000088,E0275,E0772,598.36,2024-05-15 12:13:08,Wire Transfer,Holy See (Vatican City State),Kazakhstan,Wire Transfer #88,False
T000089,E0997,E0261,804.68,2024-03-02 08:25:10,Cash Deposit,Cameroon,Senegal,Cash Deposit #89,False
T000090,E0851,E0310,61.55,2024-08-06 09:16:14,Wire Transfer,Hong Kong,Portugal,Wire Transfer #90,False
T000091,E0266,E0377,184.19,2024-08-09 16:03:13,Payment,Papua New Guinea,Qatar,Writer arm plant right risk them.,False
T000092,E0735,E0204,114.71,2024-05-28 14:28:42,Payment,United States Minor Outlying Islands,Russian Federation,Society natural someone husband buy whatever.,False
T000093,E0979,E0371,72.28,2024-08-03 07:15:03,Payment,Panama,Cuba,Car receive rate among.,False
T000094,E0117,E0727,343.14,2024-08-24 05:52:02,Cash Deposit,Anguilla,Jersey,Cash Deposit #94,False
T000095,E0302,E0401,185.61,2024-09-22 09:17:25,Cash Deposit,Guam,Switzerland,Cash Deposit #95,False
T000096,E0781,E0484,319.25,2024-06-12 13:09:48,Wire Transfer,Lao People's Democratic Republic,Dominican Republic,Wire Transfer #96,False
T000097,E0851,E0691,26991.36,2024-09-29 21:07:48,Cash Deposit,Hong Kong,Bolivia,Cash Deposit #97,False
T000098,E0163,E0987,79.4,2024-04-28 14:27:56,Cash Deposit,Saint Pierre and Miquelon,Kiribati,Cash Deposit #98,False
T000099,E0492,E0743,110.86,2024-08-10 13:42:35,Wire Transfer,Estonia,Mayotte,Wire Transfer #99,False
T000100,E0454,E0990,233.51,2024-07-30 14:56:31,Payment,Iceland,Azerbaijan,Seek energy style trouble.,False
T000101,E0526,E0663,1062.71,2024-12-08 22:00:48,Wire Transfer,Guinea-Bissau,British Indian Ocean Territory (Chagos Archipelago),Wire Transfer #101,False
T000102,E0992,E0549,115.69,2024-01-07 08:26:29,Wire Transfer,Cambodia,Nauru,Wire Transfer #102,False
T000103,E0582,E0667,5944.35,2024-02-27 08:58:51,Payment,Netherlands,Vietnam,Catch investment forget shoulder according.,False
T000104,E0592,E0800,354.72,2024-12-12 06:40:00,Cash Deposit,Guatemala,Pakistan,Cash Deposit #104,False
T000105,E0990,E0975,1771.28,2024-02-06 20:56:52,Wire Transfer,Azerbaijan,Niger,Wire Transfer #105,False
T000106,E0605,E0550,336.18,2024-10-15 17:46:54,Cash Deposit,Haiti,Czech Republic,Cash Deposit #106,False
T000107,E0180,E0493,251.57,2024-02-29 12:18:27,Payment,Cambodia,Timor-Leste,Say everybody firm continue finally.,False
T000108,E0613,E0469,75.32,2024-06-09 17:08:30,Payment,Cyprus,Cyprus,Interesting prove hard produce.,False
T000109,E0452,E0089,22520.02,2024-02-16 23:48:49,Wire Transfer,Andorra,Tanzania,Wire Transfer #109,False
T000110,E0538,E0755,41.79,2024-08-11 14:47:50,Cash Deposit,Turkmenistan,Argentina,Cash Deposit #110,False
T000111,E0731,E0195,246.62,2024-10-07 09:44:33,Wire Transfer,Iran,Palestinian Territory,Wire Transfer #111,False
T000112,E0824,E0132,153.22,2024-05-09 19:43:29,Wire Transfer,Falkland Islands (Malvinas),Cayman Islands,Wire Transfer #112,False
T000113,E0692,E0567,676.8,2024-02-18 08:59:15,Cash Deposit,Comoros,Paraguay,Cash Deposit #113,False
T000114,E0561,E0994,1165.49,2024-11-17 10:01:24,Cash Deposit,Paraguay,Korea,Cash Deposit #114,False
T000115,E0501,E0814,106.64,2024-05-12 06:40:02,Payment,Latvia,Japan,Best like hand attack.,False
T000116,E0400,E0099,204.04,2024-08-10 00:14:39,Cash Deposit,Tunisia,Djibouti,Cash Deposit #116,False
T000117,E0654,E0567,2510.62,2024-03-11 00:39:04,Wire Transfer,Papua New Guinea,Paraguay,Wire Transfer #117,False
T000118,E0702,E0997,519.11,2024-10-14 07:39:21,Cash Deposit,Venezuela,Cameroon,Cash Deposit #118,False
T000119,E0514,E0399,188.89,2024-12-13 17:18:43,Cash Deposit,Slovenia,Congo,Cash Deposit #119,False
T000120,E0636,E0934,278.48,2024-03-30 03:32:08,Wire Transfer,Malaysia,Kenya,Wire Transfer #120,False
T000121,E0126,E0481,511.58,2024-04-09 08:31:30,Payment,New Caledonia,Greece,Receive change likely do now.,False
T000122,E0416,E0446,5614.32,2024-02-09 02:27:18,Payment,Palestinian Territory,Macao,City happy yet me push.,False
T000123,E0665,E0891,118.93,2024-10-19 15:18:00,Wire Transfer,Sao Tome and Principe,Finland,Wire Transfer #123,False
T000124,E0281,E0032,100.38,2024-07-31 10:46:21,Wire Transfer,Latvia,Georgia,Wire Transfer #124,False
T000125,E0693,E0852,398.77,2024-12-23 10:01:03,Payment,Thailand,Latvia,Build almost perhaps pull child call.,False
T000126,E0313,E0229,449.55,2024-01-14 02:33:52,Cash Deposit,Zambia,Panama,Cash Deposit #126,False
T000127,E0032,E0313,171.96,2024-06-29 20:39:53,Wire Transfer,Georgia,Zambia,Wire Transfer #127,False
T000128,E0979,E0685,87.64,2024-11-27 12:02:49,Wire Transfer,Panama,Lao People's Democratic Republic,Wire Transfer #128,False
T000129,E0495,E0149,491.75,2024-11-25 17:01:58,Cash Deposit,Tokelau,Cambodia,Cash Deposit #129,False
T000130,E0563,E0197,307.52,2024-06-07 14:30:35,Cash Deposit,Madagascar,Malta,Cash Deposit #130,False
T000131,E0342,E0424,68.86,2024-07-26 22:53:02,Payment,Monaco,Namibia,Southern decade drug we crime.,False
T000132,E0490,E0816,762.01,2024-08-21 17:27:49,Payment,Croatia,Denmark,Grow thought improve mouth option one.,False
T000133,E0328,E0104,288.52,2024-03-26 01:21:10,Wire Transfer,Hong Kong,Burkina Faso,Wire Transfer #133,False
T000134,E0973,E0261,880.45,2024-03-25 01:37:59,Wire Transfer,Comoros,Senegal,Wire Transfer #134,False
T000135,E0391,E0763,3974.83,2024-04-29 13:43:18,Cash Deposit,Estonia,Brazil,Cash Deposit #135,False
T000136,E0181,E0866,55.62,2024-06-20 14:58:36,Payment,Yemen,Saudi Arabia,Light bar growth American true.,False
T000137,E0170,E0042,591.55,2024-06-16 05:15:11,Cash Deposit,French Polynesia,Saudi Arabia,Cash Deposit #137,False
T000138,E0322,E0060,33.66,2024-09-30 07:37:49,Cash Deposit,Cocos (Keeling) Islands,Korea,Cash Deposit #138,False
T000139,E0552,E0321,120.36,2024-02-27 04:10:42,Wire Transfer,United Arab Emirates,Heard Island and McDonald Islands,Wire Transfer #139,False
T000140,E0401,E0376,22.34,2024-08-18 03:36:17,Payment,Switzerland,Denmark,But book either.,False
T000141,E0148,E0143,68.59,2024-02-16 15:07:41,Wire Transfer,Heard Island and McDonald Islands,Jersey,Wire Transfer #141,False
T000142,E0215,E0346,167.3,2024-09-13 21:34:48,Payment,Belize,Northern Mariana Islands,Truth go experience difficult suggest decision.,False
T000143,E0497,E0977,107.22,2024-08-19 23:32:24,Wire Transfer,Saint Martin,Canada,Wire Transfer #143,False
T000144,E0074,E0954,562.91,2024-06-27 07:57:18,Wire Transfer,United Kingdom,Switzerland,Wire Transfer #144,False
T000145,E0655,E0983,119.8,2024-06-25 14:06:19,Payment,Panama,Malawi,Positive indicate discover.,False
T000146,E0093,E0263,2705.85,2024-10-29 20:32:25,Wire Transfer,Korea,Bouvet Island (Bouvetoya),Wire Transfer #146,False
T000147,E0302,E0042,2088.05,2024-10-10 10:38:57,Cash Deposit,Guam,Saudi Arabia,Cash Deposit #147,False
T000148,E0700,E0915,250.67,2024-02-16 21:38:07,Wire Transfer,Djibouti,Myanmar,Wire Transfer #148,False
T000149,E0502,E0953,302.29,2024-03-10 20:13:50,Wire Transfer,Ethiopia,Slovenia,Wire Transfer #149,False
T000150,E0896,E0032,977.55,2024-08-01 04:12:29,Cash Deposit,Panama,Georgia,Cash Deposit #150,False
T000151,E0758,E0720,133.77,2024-04-10 13:11:18,Wire Transfer,Micronesia,Guinea,Wire Transfer #151,False
T000152,E0235,E0711,324.13,2024-01-14 22:02:00,Cash Deposit,Palestinian Territory,Guyana,Cash Deposit #152,False
T000153,E0768,E0927,120.9,2024-03-12 05:36:44,Wire Transfer,Canada,Cape Verde,Wire Transfer #153,False
T000154,E0348,E0387,51.26,2024-09-12 05:51:42,Payment,France,Monaco,Particular president rise.,False
T000155,E0055,E0191,114.65,2024-08-24 23:51:42,Payment,Jersey,Fiji,Hand should seek teacher.,False
T000156,E0656,E0861,300.87,2024-05-16 22:14:10,Cash Deposit,Sao Tome and Principe,Libyan Arab Jamahiriya,Cash Deposit #156,False
T000157,E0918,E0107,253.39,2024-09-19 02:04:44,Payment,Uganda,Mongolia,Group usually yard you purpose.,False
T000158,E0415,E0007,785.4,2024-04-09 14:45:11,Payment,Slovenia,Bahrain,Inside affect travel.,False
T000159,E0166,E0681,2138.74,2024-03-09 20:58:23,Payment,New Caledonia,Benin,Manage old point table debate.,False
T000160,E0409,E0749,659.26,2024-06-08 17:53:19,Wire Transfer,Marshall Islands,Niue,Wire Transfer #160,False
T000161,E0024,E0684,60.97,2024-04-13 15:22:35,Payment,Tokelau,San Marino,Anything recognize concern traditional.,False
T000162,E0021,E0439,959.98,2024-11-19 19:47:16,Payment,Saint Pierre and Miquelon,Cuba,Consumer factor include form fund through.,False
T000163,E0367,E0832,228.11,2024-07-05 15:25:56,Wire Transfer,Botswana,Guatemala,Wire Transfer #163,False
T000164,E0353,E0657,305.13,2024-03-24 03:34:06,Wire Transfer,Chad,Benin,Wire Transfer #164,False
T000165,E0720,E0780,133.18,2024-01-31 16:36:36,Wire Transfer,Guinea,Canada,Wire Transfer #165,False
T000166,E0596,E0655,666.39,2024-10-23 16:26:14,Wire Transfer,Yemen,Panama,Wire Transfer #166,False
T000167,E0475,E0244,325.73,2024-12-28 05:37:12,Payment,Hong Kong,Kenya,Well shake ready factor play.,False
T000168,E0457,E0740,198.32,2024-10-09 08:35:29,Payment,Comoros,Yemen,Well time story allow ok.,False
T000169,E0914,E0451,2091.31,2024-03-29 11:42:42,Cash Deposit,El Salvador,Vietnam,Cash Deposit #169,False
T000170,E0209,E0263,31.76,2024-01-03 18:31:41,Wire Transfer,Saint Helena,Bouvet Island (Bouvetoya),Wire Transfer #170,False
T000171,E0261,E0959,275.88,2024-07-15 09:30:58,Cash Deposit,Senegal,Tokelau,Cash Deposit #171,False
T000172,E0473,E0288,453.81,2024-06-28 19:49:55,Payment,Colombia,Slovenia,Business analysis on wife responsibility child.,False
T000173,E0676,E0086,213.95,2024-06-14 17:18:34,Cash Deposit,Dominica,Panama,Cash Deposit #173,False
T000174,E0293,E0731,523.59,2024-06-07 00:30:23,Wire Transfer,Tanzania,Iran,Wire Transfer #174,False
T000175,E0693,E0591,1688.02,2024-06-26 16:39:05,Payment,Thailand,Slovenia,Either edge bring serve.,False
T000176,E0593,E0376,86.95,2024-08-25 20:40:15,Cash Deposit,Latvia,Denmark,Cash Deposit #176,False
T000177,E0553,E0780,66.6,2024-06-20 15:38:39,Wire Transfer,Liberia,Canada,Wire Transfer #177,False
T000178,E0632,E0497,90.85,2024-12-14 23:36:44,Wire Transfer,Singapore,Saint Martin,Wire Transfer #178,False
T000179,E0572,E0751,110.48,2024-01-30 12:18:27,Payment,Tanzania,Puerto Rico,On local last rise.,False
T000180,E0185,E0674,117.29,2024-06-19 22:43:04,Cash Deposit,Reunion,Austria,Cash Deposit #180,False
T000181,E0827,E0631,542.84,2024-06-25 11:19:25,Wire Transfer,Angola,Luxembourg,Wire Transfer #181,False
T000182,E0249,E0648,288.93,2024-09-02 01:49:17,Wire Transfer,United Kingdom,Switzerland,Wire Transfer #182,False
T000183,E0761,E0220,901.4,2024-02-29 08:49:21,Wire Transfer,Japan,Faroe Islands,Wire Transfer #183,False
T000184,E0165,E0975,23.49,2024-06-07 15:59:17,Payment,Monaco,Niger,During may push role individual record.,False
T000185,E0849,E0704,1765.12,2024-10-12 18:19:18,Wire Transfer,Sudan,Central African Republic,Wire Transfer #185,False
T000186,E0854,E0894,2007.14,2024-08-08 00:29:41,Wire Transfer,Tunisia,Finland,Wire Transfer #186,False
T000187,E0679,E0292,1582.34,2024-05-09 18:41:46,Payment,Western Sahara,Belarus,Floor small page art win.,False
T000188,E0768,E0113,48.21,2024-10-12 06:55:33,Payment,Canada,Samoa,Resource continue animal glass exactly point.,False
T000189,E0931,E0799,3145.37,2024-09-26 06:25:14,Payment,Bouvet Island (Bouvetoya),Serbia,Kitchen religious activity walk appear voice.,False
T000190,E0129,E0509,10.0,2024-05-12 10:27:43,Payment,Samoa,Israel,Between score discussion.,False
T000191,E0592,E0397,1169.34,2024-04-05 07:58:59,Wire Transfer,Guatemala,Belize,Wire Transfer #191,False
T000192,E0103,E0838,335.87,2024-07-26 16:28:59,Cash Deposit,Marshall Islands,United States Virgin Islands,Cash Deposit #192,False
T000193,E0113,E0395,136.27,2024-02-21 01:42:25,Wire Transfer,Samoa,Japan,Wire Transfer #193,False
T000194,E0072,E0194,40.91,2024-04-27 00:24:53,Cash Deposit,Tunisia,Belize,Cash Deposit #194,False
T000195,E0183,E0627,192.49,2024-05-03 10:00:33,Payment,Turks and Caicos Islands,Switzerland,Blood light magazine.,False
T000196,E0015,E0946,622.31,2024-01-07 09:31:23,Cash Deposit,El Salvador,Tonga,Cash Deposit #196,False
T000197,E0450,E0263,45.24,2024-01-11 16:40:09,Wire Transfer,Costa Rica,Bouvet Island (Bouvetoya),Wire Transfer #197,False
T000198,E0196,E0938,174.16,2024-07-24 07:09:08,Cash Deposit,Israel,Bulgaria,Cash Deposit #198,False
T000199,E0554,E0014,106.2,2024-05-25 06:27:22,Payment,Svalbard & Jan Mayen Islands,Slovakia (Slovak Republic),Play natural when hear first.,False
T000200,E0376,E0437,20485.99,2024-10-20 20:44:03,Payment,Denmark,Ghana,Test on ready effect environment anyone.,False
T000201,E0581,E0780,192.01,2024-05-27 21:51:04,Cash Deposit,El Salvador,Canada,Cash Deposit #201,False
T000202,E0355,E0849,21.58,2024-08-27 11:52:18,Payment,Guinea-Bissau,Sudan,With sign trial.,False
T000203,E0634,E0895,1520.32,2024-04-28 05:35:55,Payment,Mexico,San Marino,Item increase eye.,False
T000204,E0405,E0576,238.2,2024-09-20 09:35:11,Wire Transfer,Maldives,Lesotho,Wire Transfer #204,False
T000205,E0087,E0894,220.49,2024-10-26 09:44:13,Wire Transfer,Burundi,Finland,Wire Transfer #205,False
T000206,E0809,E0192,999.16,2024-04-26 06:19:28,Wire Transfer,Saint Lucia,Cambodia,Wire Transfer #206,False
T000207,E0635,E0188,3307.46,2024-04-05 22:51:08,Wire Transfer,Marshall Islands,Cocos (Keeling) Islands,Wire Transfer #207,False
T000208,E0758,E0323,4857.79,2024-01-03 06:01:46,Wire Transfer,Micronesia,Kyrgyz Republic,Wire Transfer #208,False
T000209,E0934,E0077,13.1,2024-03-07 21:30:34,Payment,Kenya,Bahrain,Herself until it available one nice.,False
T000210,E0545,E0236,1627.43,2024-10-26 09:30:04,Wire Transfer,Myanmar,Georgia,Wire Transfer #210,False
T000211,E0154,E0681,93.78,2024-06-06 20:34:58,Wire Transfer,Peru,Benin,Wire Transfer #211,False
T000212,E0404,E0207,932.58,2024-12-10 18:49:26,Wire Transfer,Guinea-Bissau,Northern Mariana Islands,Wire Transfer #212,False
T000213,E0452,E0585,120.91,2024-07-27 00:05:36,Wire Transfer,Andorra,Afghanistan,Wire Transfer #213,False
T000214,E0734,E0034,261.81,2024-05-31 19:48:07,Cash Deposit,Spain,Canada,Cash Deposit #214,False
T000215,E0444,E0091,1161.29,2024-09-03 01:14:16,Cash Deposit,Cape Verde,Zimbabwe,Cash Deposit #215,False
T000216,E0538,E0650,1432.79,2024-03-29 07:34:57,Payment,Turkmenistan,Denmark,Degree message product message.,False
T000217,E0013,E0025,9779.18,2024-06-29 00:39:57,Payment,Croatia,Togo,Citizen investment once talk goal rise.,False
T000218,E0509,E0070,153.15,2024-09-01 11:00:03,Cash Deposit,Israel,Heard Island and McDonald Islands,Cash Deposit #218,False
T000219,E0138,E0764,45.88,2024-11-24 11:39:08,Payment,Cyprus,Pakistan,College any medical want.,False
T000220,E0884,E0522,4539.89,2024-07-08 01:44:45,Wire Transfer,North Macedonia,Greece,Wire Transfer #220,False
T000221,E0103,E0569,305.41,2024-01-27 07:40:25,Payment,Marshall Islands,Belgium,Road interview show central evening bar.,False
T000222,E0346,E0249,1608.49,2024-06-20 21:51:20,Cash Deposit,Northern Mariana Islands,United Kingdom,Cash Deposit #222,False
T000223,E0778,E0132,1531.47,2024-07-12 17:17:32,Wire Transfer,Lesotho,Cayman Islands,Wire Transfer #223,False
T000224,E0258,E0673,87.06,2024-08-18 21:52:34,Wire Transfer,Guadeloupe,Spain,Wire Transfer #224,False
T000225,E0326,E0779,1336.85,2024-01-18 12:22:18,Payment,British Indian Ocean Territory (Chagos Archipelago),Somalia,Close agreement area affect through yard.,False
