Transaction_ID,Sender_ID,Receiver_ID,Amount,Timestamp,Transaction_Type,Sender_Country,Receiver_Country,Description,Suspicious_Flag
T000040,E0674,E0851,1864.77,2024-05-06 05:30:37,Payment,Burundi,Denmark,Risk represent return audience I pick.,False
T000041,E0000,E0521,164.82,2024-09-23 03:19:18,Wire Transfer,Aruba,Sri Lanka,Wire Transfer #41,False
T000042,E0123,E0599,3394.44,2024-03-12 22:51:52,Payment,Costa Rica,Panama,Religious radio nation.,False
T000043,E0656,E0604,442.49,2024-01-15 13:40:32,Cash Deposit,Vietnam,Cocos (Keeling) Islands,Cash Deposit #43,False
T000044,E0161,E0585,209.91,2024-07-06 06:25:27,Cash Deposit,Ireland,Oman,Cash Deposit #44,False
T000045,E0672,E0969,282.46,2024-06-27 06:38:16,Cash Deposit,Moldova,Jersey,Cash Deposit #45,False
T000046,E0482,E0285,387.78,2024-12-28 05:53:35,Payment,Poland,Seychelles,Picture make point base.,False
T000047,E0510,E0097,169.49,2024-03-28 09:27:18,Wire Transfer,Guam,Faroe Islands,Wire Transfer #47,False
T000048,E0676,E0365,18308.45,2024-08-26 13:20:54,Cash Deposit,Antarctica (the territory South of 60 deg S),New Zealand,Cash Deposit #48,False
T000049,E0465,E0553,57.43,2024-09-04 07:28:19,Cash Deposit,Brunei Darussalam,Tuvalu,Cash Deposit #49,False
T000050,E0021,E0828,762.11,2024-01-16 12:30:06,Wire Transfer,Poland,Burkina Faso,Wire Transfer #50,False
T000051,E0819,E0057,16.87,2024-02-25 06:16:23,Wire Transfer,Saint Kitts and Nevis,Antarctica (the territory South of 60 deg S),Wire Transfer #51,False
T000052,E0069,E0300,1494.88,2024-04-07 03:46:49,Wire Transfer,Japan,Poland,Wire Transfer #52,False
T000053,E0658,E0889,147.5,2024-04-11 02:50:05,Wire Transfer,Congo,Iraq,Wire Transfer #53,False
T000054,E0133,E0424,165.84,2024-12-20 14:31:06,Payment,United Kingdom,Niue,Keep our in history hospital business.,False
T000055,E0318,E0442,192.03,2024-05-08 07:41:42,Cash Deposit,Brunei Darussalam,Reunion,Cash Deposit #55,False
T000056,E0191,E0384,66.64,2024-10-14 22:36:52,Wire Transfer,Russian Federation,Belarus,Wire Transfer #56,False
T000057,E0515,E0904,307.94,2024-05-30 16:30:33,Wire Transfer,Libyan Arab Jamahiriya,Singapore,Wire Transfer #57,False
T000058,E0265,E0519,194.51,2024-04-16 19:23:53,Payment,Indonesia,Falkland Islands (Malvinas),Talk threat dream long employee music.,False
T000059,E0419,E0813,1036.75,2024-02-19 11:42:24,Payment,United Kingdom,Norway,Memory important read.,False
T000060,E0092,E0305,160.2,2024-04-01 09:29:39,Wire Transfer,Angola,El Salvador,Wire Transfer #60,False
T000061,E0953,E0457,780.3,2024-06-15 06:13:15,Wire Transfer,American Samoa,Honduras,Wire Transfer #61,False
T000062,E0458,E0070,363.39,2024-12-02 11:30:30,Wire Transfer,Greenland,Mauritania,Wire Transfer #62,False
T000063,E0805,E0506,372.56,2024-07-09 18:58:34,Wire Transfer,El Salvador,Mexico,Wire Transfer #63,False
T000064,E0229,E0026,565.64,2024-09-29 03:25:32,Cash Deposit,Cayman Islands,United Kingdom,Cash Deposit #64,False
T000065,E0442,E0365,45325.71,2024-05-17 22:20:57,Wire Transfer,Reunion,New Zealand,Wire Transfer #65,False
T000066,E0067,E0476,40.92,2024-05-05 10:16:48,Wire Transfer,Montenegro,Bulgaria,Wire Transfer #66,False
T000067,E0587,E0420,3155.27,2024-05-02 02:30:19,Cash Deposit,Heard Island and McDonald Islands,United States Minor Outlying Islands,Cash Deposit #67,False
T000068,E0304,E0759,4008.8,2024-07-19 13:49:36,Payment,Czech Republic,Zimbabwe,So pattern up drop even teach.,False
T000069,E0422,E0394,192.41,2024-07-29 19:20:41,Cash Deposit,Guinea,Australia,Cash Deposit #69,False
T000070,E0266,E0740,49.33,2024-12-15 22:31:56,Wire Transfer,Brazil,Sao Tome and Principe,Wire Transfer #70,False
T000071,E0809,E0224,234.4,2024-07-09 06:59:37,Cash Deposit,Bahamas,Chad,Cash Deposit #71,False
T000072,E0255,E0496,609.93,2024-09-22 22:48:59,Cash Deposit,Panama,Papua New Guinea,Cash Deposit #72,False
T000073,E0504,E0789,130.14,2024-12-08 16:32:04,Payment,Northern Mariana Islands,Tanzania,Grow employee popular single.,False
T000074,E0306,E0509,157.84,2024-07-30 07:22:11,Cash Deposit,Finland,Jamaica,Cash Deposit #74,False
T000075,E0343,E0216,184.21,2024-07-07 17:49:07,Cash Deposit,Cote d'Ivoire,Mauritania,Cash Deposit #75,False
T000076,E0641,E0505,282.15,2024-09-11 19:09:06,Wire Transfer,El Salvador,Seychelles,Wire Transfer #76,False
T000077,E0778,E0608,3929.97,2024-07-25 10:59:49,Cash Deposit,Monaco,United States Minor Outlying Islands,Cash Deposit #77,False
T000078,E0603,E0654,296.81,2024-06-21 15:57:22,Wire Transfer,Liechtenstein,Marshall Islands,Wire Transfer #78,False
T000079,E0790,E0220,47.53,2024-03-04 11:07:15,Wire Transfer,Uzbekistan,France,Wire Transfer #79,False
T000080,E0588,E0629,262.42,2024-10-25 10:09:53,Payment,Aruba,Guam,Author plan expert.,False
T000081,E0222,E0794,1063.12,2024-08-09 22:06:03,Payment,Azerbaijan,Congo,Condition rise responsibility my act age.,False
T000082,E0704,E0170,2050.68,2024-11-19 05:09:14,Cash Deposit,Denmark,Vanuatu,Cash Deposit #82,False
T000083,E0943,E0677,3362.26,2024-07-03 16:46:45,Cash Deposit,Isle of Man,Guernsey,Cash Deposit #83,False
T000084,E0734,E0510,50.53,2024-09-27 02:53:16,Cash Deposit,Puerto Rico,Guam,Cash Deposit #84,False
T000085,E0551,E0795,3020.92,2024-11-19 12:55:08,Wire Transfer,Norfolk Island,North Macedonia,Wire Transfer #85,False
T000086,E0940,E0704,1087.92,2024-10-20 21:04:02,Cash Deposit,Armenia,Denmark,Cash Deposit #86,False
T000087,E0416,E0497,623.0,2024-07-26 17:04:03,Wire Transfer,Kyrgyz Republic,Bosnia and Herzegovina,Wire Transfer #87,False
T000088,E0007,E0863,231.89,2024-10-11 01:56:28,Payment,Reunion,Norfolk Island,Sister eight hospital truth.,False
T000089,E0136,E0485,71.51,2024-06-04 22:50:14,Cash Deposit,Central African Republic,Cameroon,Cash Deposit #89,False
T000090,E0346,E0348,339.2,2024-12-29 15:15:04,Payment,Burundi,Russian Federation,Officer ago indicate.,False
T000091,E0455,E0351,204.56,2024-12-25 11:58:11,Cash Deposit,Seychelles,Bouvet Island (Bouvetoya),Cash Deposit #91,False
T000092,E0924,E0529,413.96,2024-11-28 12:23:30,Cash Deposit,Luxembourg,Thailand,Cash Deposit #92,False
T000093,E0775,E0392,175.21,2024-04-23 16:55:50,Payment,Estonia,Vanuatu,Range opportunity now political total now.,False
T000094,E0722,E0096,478.94,2024-06-29 04:31:06,Payment,Algeria,Jersey,Lose me class kid spend hit view.,False
T000095,E0011,E0554,240.42,2024-04-19 04:46:40,Cash Deposit,Comoros,China,Cash Deposit #95,False
T000096,E0621,E0644,61.84,2024-06-09 03:58:21,Cash Deposit,Bhutan,Equatorial Guinea,Cash Deposit #96,False
T000097,E0925,E0119,297.6,2024-11-05 09:33:50,Wire Transfer,Madagascar,Dominican Republic,Wire Transfer #97,False
T000098,E0851,E0862,929.66,2024-07-18 16:50:40,Wire Transfer,Denmark,Guernsey,Wire Transfer #98,False
T000099,E0999,E0262,86.08,2024-02-04 00:04:58,Wire Transfer,Reunion,Gambia,Wire Transfer #99,False
T000100,E0806,E0787,4807.58,2024-08-05 18:41:15,Payment,Lebanon,Seychelles,Rate officer treat certainly industry.,False
T000101,E0731,E0565,1018.45,2024-05-21 02:57:29,Wire Transfer,Belize,Norfolk Island,Wire Transfer #101,False
T000102,E0794,E0058,869.78,2024-01-15 17:13:40,Payment,Congo,Kazakhstan,Easy best name tell hundred.,False
T000103,E0192,E0177,198.23,2024-05-29 23:50:22,Wire Transfer,Austria,Bermuda,Wire Transfer #103,False
T000104,E0792,E0083,115.52,2024-06-23 06:52:25,Cash Deposit,Saint Martin,Niue,Cash Deposit #104,False
T000105,E0894,E0458,277.79,2024-11-02 15:40:01,Cash Deposit,Cambodia,Greenland,Cash Deposit #105,False
T000106,E0570,E0795,390.22,2024-08-26 16:43:41,Payment,Mayotte,North Macedonia,Way stage religious thank.,False
T000107,E0164,E0143,312.2,2024-06-30 19:49:06,Cash Deposit,Lithuania,Senegal,Cash Deposit #107,False
T000108,E0880,E0195,548.18,2024-09-24 07:04:47,Cash Deposit,Romania,Sao Tome and Principe,Cash Deposit #108,False
T000109,E0382,E0404,1179.01,2024-07-10 17:22:08,Cash Deposit,Pitcairn Islands,Tanzania,Cash Deposit #109,False
T000110,E0327,E0421,378.09,2024-05-01 15:56:20,Cash Deposit,United States of America,Niger,Cash Deposit #110,False
T000111,E0036,E0811,684.43,2024-11-22 11:45:18,Cash Deposit,Guadeloupe,United Kingdom,Cash Deposit #111,False
T000112,E0487,E0731,172.82,2024-03-22 02:36:27,Cash Deposit,Portugal,Belize,Cash Deposit #112,False
T000113,E0611,E0619,1347.81,2024-10-05 20:06:42,Payment,Morocco,Uzbekistan,Play police management ever behavior rise.,False
T000114,E0977,E0533,657.48,2024-10-31 17:32:49,Wire Transfer,Bouvet Island (Bouvetoya),Isle of Man,Wire Transfer #114,False
T000115,E0049,E0183,543.98,2024-11-26 22:49:54,Wire Transfer,North Macedonia,Lebanon,Wire Transfer #115,False
T000116,E0197,E0700,150.07,2024-10-29 17:32:48,Payment,Kenya,Russian Federation,Various easy right state idea return.,False
T000117,E0260,E0697,178.94,2024-07-05 15:41:43,Wire Transfer,Marshall Islands,Peru,Wire Transfer #117,False
T000118,E0070,E0158,635.91,2024-03-08 19:22:12,Cash Deposit,Mauritania,Suriname,Cash Deposit #118,False
T000119,E0734,E0751,1220.59,2024-07-14 01:15:51,Cash Deposit,Puerto Rico,South Africa,Cash Deposit #119,False
T000120,E0204,E0857,114.71,2024-10-18 21:54:01,Wire Transfer,Slovenia,Suriname,Wire Transfer #120,False
T000121,E0267,E0740,8964.37,2024-12-06 04:10:24,Payment,Uruguay,Sao Tome and Principe,Along ago can.,False
T000122,E0181,E0240,95.74,2024-09-09 15:37:12,Cash Deposit,Bhutan,Swaziland,Cash Deposit #122,False
T000123,E0923,E0153,95.37,2024-10-18 17:41:41,Payment,France,Costa Rica,Reduce executive again.,False
T000124,E0437,E0367,124.25,2024-08-27 23:49:53,Payment,Algeria,Aruba,Season laugh think.,False
T000125,E0274,E0811,173.64,2024-02-13 02:18:57,Payment,Denmark,United Kingdom,Fight support by bed.,False
T000126,E0843,E0974,441.19,2024-10-06 14:03:42,Payment,Kyrgyz Republic,Singapore,Market mother truth cell assume meet.,False
T000127,E0883,E0485,1498.8,2024-11-18 16:17:36,Cash Deposit,Bouvet Island (Bouvetoya),Cameroon,Cash Deposit #127,False
T000128,E0503,E0703,186.19,2024-05-10 00:48:07,Wire Transfer,France,Panama,Wire Transfer #128,False
T000129,E0433,E0612,1655.78,2024-02-18 08:07:31,Wire Transfer,Philippines,Madagascar,Wire Transfer #129,False
T000130,E0741,E0703,1040.38,2024-10-26 02:42:17,Wire Transfer,Jamaica,Panama,Wire Transfer #130,False
T000131,E0524,E0276,1664.84,2024-08-13 19:50:35,Payment,Canada,Ethiopia,Each team clearly.,False
T000132,E0157,E0935,10.0,2024-11-24 12:10:37,Payment,Jamaica,British Virgin Islands,Education set build citizen change garden.,False
T000133,E0680,E0342,10.0,2024-02-16 23:49:11,Wire Transfer,Djibouti,Brazil,Wire Transfer #133,False
T000134,E0492,E0065,168.82,2024-04-05 23:54:51,Wire Transfer,Nigeria,Turkmenistan,Wire Transfer #134,False
T000135,E0071,E0851,1346.11,2024-05-04 18:33:02,Cash Deposit,Antigua and Barbuda,Denmark,Cash Deposit #135,False
T000136,E0039,E0190,282.41,2024-04-03 05:39:04,Cash Deposit,Croatia,Nepal,Cash Deposit #136,False
T000137,E0333,E0815,72.43,2024-07-25 07:01:42,Cash Deposit,Guinea,Iran,Cash Deposit #137,False
T000138,E0537,E0496,259.91,2024-03-21 17:53:34,Wire Transfer,Bouvet Island (Bouvetoya),Papua New Guinea,Wire Transfer #138,False
T000139,E0784,E0718,1368.08,2024-11-29 01:36:14,Cash Deposit,Japan,Barbados,Cash Deposit #139,False
T000140,E0735,E0229,1999.93,2024-09-28 07:05:33,Payment,Bouvet Island (Bouvetoya),Cayman Islands,Religious prevent today chair.,False
T000141,E0853,E0133,186.53,2024-08-09 14:04:26,Cash Deposit,Burkina Faso,United Kingdom,Cash Deposit #141,False
T000142,E0795,E0163,779.35,2024-12-10 11:20:49,Payment,North Macedonia,Argentina,Over sit message.,False
T000143,E0413,E0406,645.0,2024-03-10 06:29:44,Cash Deposit,Portugal,Martinique,Cash Deposit #143,False
T000144,E0102,E0041,201.65,2024-02-27 10:44:58,Payment,Brunei Darussalam,Albania,Order carry sing trouble prevent.,False
T000145,E0436,E0809,529.95,2024-09-10 14:45:04,Cash Deposit,Lesotho,Bahamas,Cash Deposit #145,False
T000146,E0997,E0237,3352.64,2024-01-19 02:29:52,Payment,Lesotho,Palestinian Territory,Himself traditional company operation remember.,False
T000147,E0033,E0306,39.2,2024-07-22 23:52:51,Cash Deposit,Sao Tome and Principe,Finland,Cash Deposit #147,False
T000148,E0221,E0568,297.76,2024-10-06 11:36:46,Payment,Bosnia and Herzegovina,Madagascar,Task ground blood enough phone recognize.,False
T000149,E0726,E0324,2280.18,2024-07-10 04:30:05,Cash Deposit,Kazakhstan,United States Minor Outlying Islands,Cash Deposit #149,False
T000150,E0627,E0852,80.7,2024-12-16 03:07:53,Wire Transfer,Lao People's Democratic Republic,Mali,Wire Transfer #150,False
T000151,E0678,E0474,2410.61,2024-01-04 09:10:42,Payment,Venezuela,Bahrain,Hair instead training under thank.,False
T000152,E0100,E0863,129.89,2024-07-17 01:27:49,Wire Transfer,Saint Barthelemy,Norfolk Island,Wire Transfer #152,False
T000153,E0057,E0929,334.75,2024-09-03 15:55:33,Wire Transfer,Antarctica (the territory South of 60 deg S),Zambia,Wire Transfer #153,False
T000154,E0388,E0938,50.71,2024-04-26 09:18:17,Payment,Guadeloupe,Saint Vincent and the Grenadines,Bar majority nearly.,False
T000155,E0059,E0343,4383.46,2024-02-25 10:38:23,Wire Transfer,Brunei Darussalam,Cote d'Ivoire,Wire Transfer #155,False
T000156,E0962,E0372,2187.61,2024-08-23 13:34:12,Cash Deposit,Turks and Caicos Islands,Saint Pierre and Miquelon,Cash Deposit #156,False
T000157,E0229,E0793,467.31,2024-05-24 13:32:21,Payment,Cayman Islands,Switzerland,Size consider door coach avoid sort.,False
T000158,E0285,E0388,1686.6,2024-04-08 21:22:53,Cash Deposit,Seychelles,Guadeloupe,Cash Deposit #158,False
T000159,E0125,E0613,9972.39,2024-08-20 08:31:50,Cash Deposit,Namibia,Niue,Cash Deposit #159,False
T000160,E0544,E0752,47.63,2024-07-13 09:39:50,Wire Transfer,Niue,Grenada,Wire Transfer #160,False
T000161,E0228,E0016,298.23,2024-02-15 15:36:04,Payment,French Guiana,Congo,Include night improve.,False
T000162,E0421,E0754,2700.44,2024-07-08 03:36:32,Cash Deposit,Niger,North Macedonia,Cash Deposit #162,False
T000163,E0565,E0602,295.69,2024-11-06 17:32:54,Payment,Norfolk Island,Guyana,Day history ten.,False
T000164,E0410,E0450,619.17,2024-05-10 19:16:50,Wire Transfer,Guatemala,Vanuatu,Wire Transfer #164,False
T000165,E0694,E0116,586.5,2024-10-17 10:16:26,Wire Transfer,Equatorial Guinea,Liechtenstein,Wire Transfer #165,False
T000166,E0972,E0644,199.05,2024-02-24 15:11:33,Cash Deposit,United States of America,Equatorial Guinea,Cash Deposit #166,False
T000167,E0885,E0127,1327.94,2024-12-15 12:41:26,Wire Transfer,South Georgia and the South Sandwich Islands,Russian Federation,Wire Transfer #167,False
T000168,E0879,E0968,4822.83,2024-06-26 23:06:21,Cash Deposit,New Caledonia,Azerbaijan,Cash Deposit #168,False
T000169,E0970,E0719,79.87,2024-01-14 15:32:42,Payment,Belarus,Serbia,Civil home federal all.,False
T000170,E0623,E0278,288.85,2024-06-11 03:47:46,Wire Transfer,Yemen,Georgia,Wire Transfer #170,False
T000171,E0658,E0998,102.35,2024-04-11 03:29:08,Payment,Congo,Korea,Again people lawyer the owner college.,False
T000172,E0546,E0809,957.75,2024-05-08 09:36:01,Cash Deposit,Bosnia and Herzegovina,Bahamas,Cash Deposit #172,False
T000173,E0728,E0191,40.13,2024-09-10 18:30:49,Payment,Seychelles,Russian Federation,Number theory strategy opportunity west.,False
T000174,E0293,E0039,288.99,2024-01-19 12:37:44,Cash Deposit,Fiji,Croatia,Cash Deposit #174,False
T000175,E0588,E0489,66.78,2024-10-18 11:35:38,Payment,Aruba,Solomon Islands,Bed whose cup six.,False
T000176,E0574,E0616,643.86,2024-05-05 06:19:36,Payment,Brazil,Indonesia,Approach task may.,False
T000177,E0734,E0187,42356.53,2024-05-02 15:35:42,Cash Deposit,Puerto Rico,Poland,Cash Deposit #177,False
T000178,E0974,E0907,368.44,2024-10-04 23:40:24,Payment,Singapore,Netherlands Antilles,Decade tonight behind.,False
T000179,E0828,E0451,38.4,2024-08-31 08:55:02,Cash Deposit,Burkina Faso,Czech Republic,Cash Deposit #179,False
T000180,E0263,E0182,525.1,2024-04-04 19:11:49,Cash Deposit,British Virgin Islands,Czech Republic,Cash Deposit #180,False
T000181,E0049,E0959,551.08,2024-10-18 17:01:07,Payment,North Macedonia,Sri Lanka,Population year one foreign.,False
T000182,E0133,E0946,1042.44,2024-11-19 22:57:42,Cash Deposit,United Kingdom,Azerbaijan,Cash Deposit #182,False
T000183,E0188,E0408,2366.05,2024-12-09 11:30:27,Wire Transfer,French Polynesia,Fiji,Wire Transfer #183,False
T000184,E0502,E0064,52.28,2024-10-26 09:18:15,Payment,Equatorial Guinea,Slovenia,Pass officer work alone body statement.,False
T000185,E0101,E0054,738.85,2024-08-02 09:06:30,Payment,Maldives,Honduras,Leader government form.,False
T000186,E0044,E0009,2220.73,2024-08-02 02:11:12,Cash Deposit,Saint Helena,Faroe Islands,Cash Deposit #186,False
T000187,E0716,E0919,1065.26,2024-02-14 17:55:34,Wire Transfer,Falkland Islands (Malvinas),Serbia,Wire Transfer #187,False
T000188,E0354,E0831,454.65,2024-10-17 18:59:04,Cash Deposit,Niger,Romania,Cash Deposit #188,False
T000189,E0338,E0791,116.81,2024-01-18 08:12:18,Payment,Aruba,Greenland,Political college who market.,False
T000190,E0284,E0620,218.7,2024-09-01 11:27:43,Cash Deposit,India,Antarctica (the territory South of 60 deg S),Cash Deposit #190,False
T000191,E0202,E0071,212.17,2024-10-21 21:17:21,Payment,Ireland,Antigua and Barbuda,Describe movement wife account option hit.,False
T000192,E0528,E0131,2334.86,2024-02-21 02:41:47,Cash Deposit,Madagascar,Netherlands,Cash Deposit #192,False
T000193,E0813,E0754,370.61,2024-01-17 20:08:01,Payment,Norway,North Macedonia,Be Mr drop whom.,False
T000194,E0459,E0087,1028.37,2024-08-23 12:54:43,Wire Transfer,Somalia,Barbados,Wire Transfer #194,False
T000195,E0255,E0892,1095.09,2024-12-17 00:02:20,Cash Deposit,Panama,Cote d'Ivoire,Cash Deposit #195,False
T000196,E0239,E0548,360.27,2024-06-05 00:32:43,Payment,United States Virgin Islands,Poland,Race weight community.,False
T000197,E0910,E0278,1130.2,2024-01-29 03:54:49,Cash Deposit,Gibraltar,Georgia,Cash Deposit #197,False
T000198,E0315,E0012,679.79,2024-01-16 22:57:58,Payment,Djibouti,Grenada,Size politics science culture talk miss.,False
T000199,E0170,E0338,319.68,2024-01-29 03:11:29,Payment,Vanuatu,Aruba,Item article red.,False
T000200,E0995,E0225,2845.67,2024-03-27 00:39:44,Payment,Spain,Honduras,By company stage city view.,False
T000201,E0044,E0939,768.62,2024-06-27 20:10:07,Cash Deposit,Saint Helena,Italy,Cash Deposit #201,False
T000202,E0118,E0963,200.9,2024-09-02 14:01:23,Wire Transfer,Norway,Costa Rica,Wire Transfer #202,False
T000203,E0653,E0016,736.7,2024-11-30 05:10:57,Payment,Cyprus,Congo,General entire owner especially.,False
T000204,E0978,E0121,97.09,2024-08-01 09:36:59,Cash Deposit,Austria,Reunion,Cash Deposit #204,False
T000205,E0526,E0160,514.8,2024-11-23 02:42:13,Cash Deposit,Niger,El Salvador,Cash Deposit #205,False
T000206,E0262,E0182,324.46,2024-07-23 09:36:51,Cash Deposit,Gambia,Czech Republic,Cash Deposit #206,False
T000207,E0195,E0720,1207.61,2024-07-16 22:22:48,Wire Transfer,Sao Tome and Principe,San Marino,Wire Transfer #207,False
T000208,E0540,E0662,141.27,2024-10-18 17:19:08,Cash Deposit,China,Dominica,Cash Deposit #208,False
T000209,E0501,E0232,165.86,2024-05-11 13:31:12,Wire Transfer,Mali,Mozambique,Wire Transfer #209,False
T000210,E0949,E0629,17.19,2024-06-23 05:51:51,Wire Transfer,Mauritius,Guam,Wire Transfer #210,False
T000211,E0892,E0731,1569.7,2024-01-31 06:34:19,Payment,Cote d'Ivoire,Belize,Dog central happen relationship.,False
T000212,E0199,E0274,164.79,2024-08-11 05:38:10,Cash Deposit,Puerto Rico,Denmark,Cash Deposit #212,False
T000213,E0343,E0135,103.51,2024-01-25 16:00:14,Wire Transfer,Cote d'Ivoire,Paraguay,Wire Transfer #213,False
T000214,E0075,E0389,262.4,2024-07-22 03:51:36,Payment,Saint Vincent and the Grenadines,Honduras,Central different son blood wait remain.,False
T000215,E0535,E0927,173.1,2024-05-27 02:22:06,Wire Transfer,Ethiopia,France,Wire Transfer #215,False
T000216,E0851,E0112,247.33,2024-08-21 22:26:35,Wire Transfer,Denmark,Grenada,Wire Transfer #216,False
T000217,E0196,E0896,197.44,2024-10-06 18:44:21,Cash Deposit,Mayotte,Solomon Islands,Cash Deposit #217,False
T000218,E0079,E0931,115.37,2024-02-07 05:56:21,Cash Deposit,Cape Verde,Western Sahara,Cash Deposit #218,False
T000219,E0887,E0372,1082.99,2024-03-16 23:56:46,Cash Deposit,Guinea,Saint Pierre and Miquelon,Cash Deposit #219,False
T000220,E0928,E0449,676.13,2024-12-29 11:33:13,Wire Transfer,Bahrain,Latvia,Wire Transfer #220,False
T000221,E0477,E0944,1528.62,2024-09-17 17:08:54,Wire Transfer,Saudi Arabia,Macao,Wire Transfer #221,False
T000222,E0320,E0647,1353.8,2024-09-13 20:53:53,Cash Deposit,Slovakia (Slovak Republic),Honduras,Cash Deposit #222,False
T000223,E0282,E0564,197.84,2024-08-19 16:57:25,Cash Deposit,Vietnam,Poland,Cash Deposit #223,False
T000224,E0461,E0224,85.17,2024-02-06 12:14:17,Cash Deposit,Christmas Island,Chad,Cash Deposit #224,False
